"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R2";"R_0805_2012Metric";2;"22";;;
2;"MX30,MX13,MX23,MX21,MX52,MX16,MX56,MX60,MX6,MX3,MX42,MX45,MX8,MX35,MX36,MX1,MX55,MX9,MX39,MX11,MX24,MX37,MX32,MX20,MX48,MX33,MX2,MX15,MX5,MX53,MX46,MX57,MX31,MX25,MX41,MX7,MX27,MX18,MX50,MX51,MX40,MX12,MX47,MX58,MX59,MX43,MX54,MX19,MX14,MX22,MX26,MX28,MX49,MX44,MX4,MX38,MX29,MX10,MX34,MX17";"SW_MX_HS_CPG151101S11_1u";60;"MX_SW_HS";;;
3;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
4;"R4,R1";"R_0805_2012Metric";2;"10k";;;
5;"J1";"USB_C_Receptacle_Amphenol_12401548E4-2A";1;"USB_C_Receptacle";;;
6;"R6,R5";"R_0805_2012Metric";2;"5.1k";;;
7;"U2";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
8;"C4,C3,C2";"C_0805_2012Metric";3;"0.1uF";;;
9;"C6,C7";"C_0805_2012Metric";2;"22pF";;;
10;"C5";"C_0805_2012Metric";1;"10uF";;;
11;"C1";"C_0805_2012Metric";1;"1uF";;;
12;"D11,D3,D28,D32,D12,D43,D40,D38,D49,D51,D53,D60,D5,D14,D50,D48,D10,D7,D26,D15,D9,D59,D19,D36,D22,D25,D23,D6,D2,D8,D4,D41,D16,D35,D45,D31,D1,D44,D18,D55,D39,D21,D13,D56,D37,D20,D29,D30,D52,D57,D42,D47,D27,D58,D24,D46,D17,D54,D34,D33";"D_SOD-123";60;"D_Small";;;
13;"SW1";"SKQG-1155865";1;"SW_Push";;;
